"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\cadences.js", "JavaScript", 109, 2, 34, 145
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\components.js", "JavaScript", 210, 43, 71, 324
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\global.js", "JavaScript", 16, 4, 10, 30
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\modes.js", "JavaScript", 76, 6, 18, 100
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\sources.js", "JavaScript", 156, 8, 10, 174
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\webaudio.js", "JavaScript", 98, 17, 44, 159
"Total", "-", 665, 80, 187, 932
